,Airport,Prox_Airports
87,06039.1*A,"['01132.*A', '01176.*A', '05829.*A', '05839.5*A', '06022.11*A', '06057.1*A', '06070.*A', '06147.1*A', '06089.*A', '05903.*A', '04427.*A', '04444.*A', '04508.1*A', '04507.*A', '04567.*A', '04650.1*A', '04938.*A', '04767.*A', '04824.*A', '04870.*A', '04503.*A', '05388.11*A', '05375.*A', '05281.*A', '05738.*A', '06811.*A', '06721.*A', '06948.51*A', '09524.*A', '10228.*A', '09657.*A', '09834.*A', '09847.*A', '10092.*A', '09977.*A', '10034.*A', '09614.*A', '10509.*A', '10605.*A', '10512.*A', '10653.*A', '10665.*A', '10736.*A', '10746.2*A', '10824.*A', '10615.2*A', '10885.*A', '10899.*A', '10938.*A', '11098.*A', '11098.2*A', '11816.6*A', '11884.*A', '12077.*A', '12151.01*A', '12160.1*A', '17285.*A', '12693.*A', '12748.*A', '12794.*A', '12960.*A', '12817.*A', '18609.*A', '18876.11*A', '19166.*A', '19253.1*A', '19283.*A', '19289.2*A', '22603.*A', '22675.1*A', '22817.*A', '27346.*A', '27166.*A', '27168.1*A', '27465.*A', '27356.*A', '27373.*A', '27505.*A', '27518.*A', '27667.*A', '27682.*A']"
88,06057.1*A,"['01176.*A', '02765.*A', '05829.*A', '05839.5*A', '06022.11*A', '06039.1*A', '06070.*A', '06147.1*A', '06089.*A', '05903.*A', '04427.*A', '04444.*A', '04508.1*A', '04507.*A', '04567.*A', '04650.1*A', '04938.*A', '04767.*A', '04824.*A', '04870.*A', '04503.*A', '05375.*A', '05281.*A', '05738.*A', '06811.*A', '06721.*A', '06948.51*A', '09657.*A', '09847.*A', '09977.*A', '10034.*A', '09614.*A', '10509.*A', '10605.*A', '10512.*A', '10653.*A', '10665.*A', '10736.*A', '10746.2*A', '10824.*A', '10615.2*A', '10885.*A', '10899.*A', '10938.*A', '11098.*A', '11098.2*A', '11816.6*A', '11884.*A', '12077.*A', '12151.01*A', '12160.1*A', '17285.*A', '17337.2*A', '12693.*A', '12748.*A', '12794.*A', '12960.*A', '12817.*A', '18876.11*A', '19143.*A', '19166.*A', '19253.1*A', '19283.*A', '19289.2*A', '22603.*A', '22675.1*A', '22817.*A', '27346.*A', '27166.*A', '27168.1*A', '27465.*A', '27356.*A', '27373.*A', '27505.*A', '27518.*A', '27667.*A', '27682.*A']"
89,06070.*A,"['00987.*A', '01132.*A', '01165.*A', '01176.*A', '05829.*A', '05839.5*A', '06022.11*A', '06039.1*A', '06057.1*A', '06147.1*A', '06089.*A', '05903.*A', '04427.*A', '04444.*A', '04508.1*A', '04507.*A', '04567.*A', '04650.1*A', '04938.*A', '04767.*A', '04824.*A', '04870.*A', '04503.*A', '05388.11*A', '05375.*A', '05281.*A', '05738.*A', '06811.*A', '06721.*A', '06948.51*A', '07055.*A', '09524.*A', '10228.*A', '09725.*A', '09657.*A', '09834.*A', '09847.*A', '10092.*A', '09977.*A', '10034.*A', '10382.2*A', '09614.*A', '10509.*A', '10605.*A', '10512.*A', '10653.*A', '10665.*A', '10736.*A', '10746.2*A', '10824.*A', '10615.2*A', '10885.*A', '10899.*A', '10938.*A', '11098.*A', '11098.2*A', '11816.6*A', '11884.*A', '12077.*A', '12151.01*A', '12160.1*A', '12693.*A', '12794.*A', '12960.*A', '12817.*A', '18603.*A', '18157.*A', '18609.*A', '18855.*A', '18876.11*A', '19143.*A', '19166.*A', '19199.2*A', '19253.1*A', '19283.*A', '19289.2*A', '22603.*A', '22675.1*A', '23055.*A', '23097.*A', '23121.*A', '22905.*A', '27346.*A', '27166.*A', '27168.1*A', '27465.*A', '27356.*A', '27373.*A', '27505.*A', '27518.*A', '27667.*A', '27682.*A']"
90,06147.1*A,"['00987.*A', '01176.*A', '02573.*A', '02765.*A', '05829.*A', '05839.5*A', '06022.11*A', '06039.1*A', '06057.1*A', '06070.*A', '06089.*A', '05903.*A', '04427.*A', '04444.*A', '04508.1*A', '04507.*A', '04567.*A', '04650.1*A', '04938.*A', '04767.*A', '04824.*A', '04870.*A', '04503.*A', '06811.*A', '06721.*A', '06948.51*A', '09847.*A', '10034.*A', '10509.*A', '10605.*A', '10512.*A', '10653.*A', '10665.*A', '10736.*A', '10746.2*A', '10824.*A', '10615.2*A', '10885.*A', '10899.*A', '10938.*A', '11098.*A', '11098.2*A', '11816.6*A', '11884.*A', '12077.*A', '12151.01*A', '12160.1*A', '17285.*A', '17337.2*A', '12693.*A', '12748.*A', '12794.*A', '12960.*A', '12817.*A', '18855.*A', '18876.11*A', '18978.32*A', '18989.*A', '19143.*A', '19166.*A', '19199.2*A', '19253.1*A', '19307.2*A', '19283.*A', '19122.*A', '19289.2*A', '19136.*A', '22603.*A', '22675.1*A', '22817.*A', '27346.*A', '27166.*A', '27168.1*A', '27465.*A', '27356.*A', '27373.*A', '27505.*A', '27518.*A', '27667.*A', '27682.*A', '27759.*A']"
91,06089.*A,"['00987.*A', '01132.*A', '01165.*A', '01176.*A', '02765.*A', '05829.*A', '05839.5*A', '06022.11*A', '06039.1*A', '06057.1*A', '06070.*A', '06147.1*A', '05903.*A', '04427.*A', '04444.*A', '04508.1*A', '04507.*A', '04567.*A', '04650.1*A', '04938.*A', '04767.*A', '04824.*A', '04870.*A', '04503.*A', '05388.11*A', '05375.*A', '05281.*A', '05738.*A', '06811.*A', '06721.*A', '06948.51*A', '07055.*A', '09657.*A', '09847.*A', '10034.*A', '10509.*A', '10605.*A', '10512.*A', '10653.*A', '10665.*A', '10736.*A', '10746.2*A', '10824.*A', '10615.2*A', '10885.*A', '10899.*A', '10938.*A', '11098.*A', '11098.2*A', '11816.6*A', '11884.*A', '12077.*A', '12151.01*A', '12160.1*A', '12693.*A', '12748.*A', '12794.*A', '12960.*A', '12817.*A', '18609.*A', '18771.*A', '18855.*A', '18876.11*A', '18978.32*A', '18989.*A', '19080.*A', '19143.*A', '19166.*A', '19199.2*A', '19253.1*A', '19307.2*A', '19283.*A', '19122.*A', '19289.2*A', '19295.11*A', '19136.*A', '22603.*A', '22675.1*A', '22817.*A', '23097.*A', '22905.*A', '27346.*A', '27166.*A', '27168.1*A', '27465.*A', '27356.*A', '27373.*A', '27505.*A', '27518.*A', '27667.*A', '27682.*A']"
92,05903.*A,"['00987.*A', '01132.*A', '01165.*A', '01176.*A', '02765.*A', '05829.*A', '05839.5*A', '06022.11*A', '06039.1*A', '06057.1*A', '06070.*A', '06147.1*A', '06089.*A', '04427.*A', '04444.*A', '04508.1*A', '04507.*A', '04567.*A', '04650.1*A', '04938.*A', '04767.*A', '04824.*A', '04870.*A', '04503.*A', '05375.*A', '05738.*A', '06811.*A', '06721.*A', '06948.51*A', '09847.*A', '10034.*A', '10509.*A', '10605.*A', '10512.*A', '10653.*A', '10665.*A', '10736.*A', '10746.2*A', '10824.*A', '10615.2*A', '10885.*A', '10899.*A', '10938.*A', '11098.*A', '11098.2*A', '11816.6*A', '11884.*A', '12077.*A', '12151.01*A', '12160.1*A', '12693.*A', '12748.*A', '12794.*A', '12960.*A', '12817.*A', '18771.*A', '18855.*A', '18876.11*A', '18978.32*A', '18989.*A', '19080.*A', '19143.*A', '19166.*A', '19199.2*A', '19253.1*A', '19307.2*A', '19283.*A', '19122.*A', '19289.2*A', '19295.11*A', '19136.*A', '22603.*A', '22675.1*A', '22817.*A', '23097.*A', '22905.*A', '23454.*A', '27346.*A', '27166.*A', '27168.1*A', '27465.*A', '27356.*A', '27373.*A', '27505.*A', '27518.*A', '27667.*A', '27682.*A']"
93,04206.*A,"['01346.*A', '02461.*A', '02517.*A', '02588.*A', '02623.*A', '04224.1*A', '12417.*A', '13048.*A', '13072.*A', '13079.25*A', '13108.*A', '19345.*A', '19352.1*A', '19403.*A', '19411.1*A', '19595.*A', '19571.5*A', '19572.*A', '19514.*A', '19589.*A', '25117.*A', '25289.*A', '25287.*A', '25324.*A', '26144.*A', '26159.*A', '26417.*A', '26444.*A', '26369.*A', '26372.*A', '26381.*A', '26386.1*A', '26395.*A']"
94,04224.1*A,"['04206.*A', '12417.*A', '13048.*A', '13079.25*A', '19345.*A', '19352.1*A', '19403.*A', '19411.1*A', '19595.*A', '19571.5*A', '19572.*A', '19514.*A', '19589.*A', '26144.*A', '26159.*A', '26417.*A', '26444.*A', '26369.*A', '26372.*A', '26381.*A', '26386.1*A', '26395.*A', '26125.1*A']"
95,04427.*A,"['00128.*A', '00146.*A', '00164.*A', '00498.*A', '00987.*A', '01132.*A', '01165.*A', '01176.*A', '03642.*A', '03728.*A', '03641.*A', '03643.*A', '03639.*A', '03805.*A', '05829.*A', '05839.5*A', '06022.11*A', '06039.1*A', '06057.1*A', '06070.*A', '06147.1*A', '06089.*A', '05903.*A', '04444.*A', '04508.1*A', '04507.*A', '04567.*A', '04650.1*A', '04938.*A', '04767.*A', '04824.*A', '04870.*A', '04503.*A', '05388.11*A', '05375.*A', '05281.*A', '05738.*A', '06811.*A', '06721.*A', '07055.*A', '07796.*A', '09524.*A', '10228.*A', '09725.*A', '09657.*A', '09847.*A', '10092.*A', '09977.*A', '10034.*A', '10382.2*A', '09614.*A', '10509.*A', '11098.*A', '11816.6*A', '11884.*A', '12077.*A', '12151.01*A', '12160.1*A', '11444.*A', '11270.*A', '17220.*A', '12794.*A', '17757.*A', '17668.2*A', '17695.*A', '17746.*A', '18603.*A', '18157.*A', '18609.*A', '18753.*A', '18771.*A', '18855.*A', '18876.11*A', '18989.*A', '19080.*A', '19143.*A', '19166.*A', '19199.2*A', '19253.1*A', '19283.*A', '19289.2*A', '21252.*A', '22309.*A', '23055.*A', '22899.*A', '23097.*A', '23121.*A', '22905.*A', '25986.*A', '27346.*A', '27168.1*A', '27356.*A', '27373.*A', '27505.*A', '27518.*A', '27667.*A', '27682.*A', '26627.*A', '26768.*A']"
96,04444.*A,"['01132.*A', '01165.*A', '01176.*A', '05829.*A', '05839.5*A', '06022.11*A', '06039.1*A', '06057.1*A', '06070.*A', '06147.1*A', '06089.*A', '05903.*A', '04427.*A', '04508.1*A', '04507.*A', '04567.*A', '04650.1*A', '04938.*A', '04767.*A', '04824.*A', '04870.*A', '04503.*A', '05388.11*A', '05375.*A', '05281.*A', '05738.*A', '06811.*A', '06721.*A', '07055.*A', '09524.*A', '10228.*A', '09725.*A', '09657.*A', '09834.*A', '09847.*A', '10092.*A', '09977.*A', '10034.*A', '10382.2*A', '09614.*A', '10509.*A', '10605.*A', '10512.*A', '10653.*A', '10665.*A', '10736.*A', '10746.2*A', '10824.*A', '10615.2*A', '10885.*A', '10899.*A', '10938.*A', '11098.*A', '11098.2*A', '11816.6*A', '11884.*A', '12077.*A', '12151.01*A', '12160.1*A', '12794.*A', '17757.*A', '17668.2*A', '17695.*A', '17746.*A', '18603.*A', '18157.*A', '18609.*A', '18753.*A', '20069.11*A', '20480.2*A', '20126.*A', '21252.*A', '23055.*A', '22899.*A', '23097.*A', '23121.*A', '22905.*A', '27346.*A', '27166.*A', '27168.1*A', '27465.*A', '27356.*A', '27373.*A', '27505.*A', '27518.*A', '27667.*A', '27682.*A', '26627.*A', '26768.*A']"
97,04508.1*A,"['01132.*A', '05829.*A', '05839.5*A', '06022.11*A', '06039.1*A', '06057.1*A', '06070.*A', '06147.1*A', '06089.*A', '05903.*A', '04427.*A', '04444.*A', '04507.*A', '04567.*A', '04650.1*A', '04938.*A', '04767.*A', '04824.*A', '04870.*A', '04503.*A', '05388.11*A', '05375.*A', '05281.*A', '05738.*A', '06811.*A', '06721.*A', '07055.*A', '09524.*A', '10228.*A', '09725.*A', '09657.*A', '09834.*A', '09847.*A', '10092.*A', '09977.*A', '10034.*A', '10382.2*A', '09614.*A', '10509.*A', '10605.*A', '10512.*A', '10653.*A', '10665.*A', '10736.*A', '10746.2*A', '10824.*A', '10615.2*A', '10885.*A', '10899.*A', '10938.*A', '11098.*A', '11098.2*A', '11816.6*A', '11884.*A', '12077.*A', '12151.01*A', '12160.1*A', '12794.*A', '17757.*A', '17668.2*A', '17695.*A', '17746.*A', '18603.*A', '18157.*A', '18609.*A', '18753.*A', '20069.11*A', '20480.2*A', '20126.*A', '21252.*A', '23055.*A', '23121.*A', '22905.*A', '27346.*A', '27166.*A', '27168.1*A', '27465.*A', '27356.*A', '27373.*A', '27505.*A', '27518.*A', '27667.*A', '27682.*A', '26627.*A', '26768.*A']"
98,04507.*A,"['01132.*A', '05829.*A', '05839.5*A', '06022.11*A', '06039.1*A', '06057.1*A', '06070.*A', '06147.1*A', '06089.*A', '05903.*A', '04427.*A', '04444.*A', '04508.1*A', '04567.*A', '04650.1*A', '04938.*A', '04767.*A', '04824.*A', '04870.*A', '04503.*A', '05388.11*A', '05375.*A', '05281.*A', '05738.*A', '06811.*A', '06721.*A', '07055.*A', '09524.*A', '10228.*A', '09725.*A', '09657.*A', '09834.*A', '09847.*A', '10092.*A', '09977.*A', '10034.*A', '10382.2*A', '09614.*A', '10509.*A', '10605.*A', '10512.*A', '10653.*A', '10736.*A', '10746.2*A', '10824.*A', '10615.2*A', '10885.*A', '10899.*A', '10938.*A', '11098.*A', '11098.2*A', '11816.6*A', '11884.*A', '12077.*A', '12151.01*A', '12160.1*A', '12794.*A', '17757.*A', '17668.2*A', '17695.*A', '17746.*A', '18603.*A', '18157.*A', '18609.*A', '18753.*A', '20069.11*A', '20480.2*A', '20126.*A', '21252.*A', '23055.*A', '22899.*A', '23097.*A', '23121.*A', '22905.*A', '27346.*A', '27166.*A', '27168.1*A', '27465.*A', '27356.*A', '27373.*A', '27505.*A', '27518.*A', '27667.*A', '27682.*A', '26627.*A', '26768.*A']"
99,04567.*A,"['01132.*A', '01165.*A', '01176.*A', '05829.*A', '05839.5*A', '06022.11*A', '06039.1*A', '06057.1*A', '06070.*A', '06147.1*A', '06089.*A', '05903.*A', '04427.*A', '04444.*A', '04508.1*A', '04507.*A', '04650.1*A', '04938.*A', '04767.*A', '04824.*A', '04870.*A', '04503.*A', '05388.11*A', '05375.*A', '05281.*A', '05738.*A', '06811.*A', '06721.*A', '07055.*A', '09524.*A', '10228.*A', '09725.*A', '09657.*A', '09834.*A', '09847.*A', '10092.*A', '09977.*A', '10034.*A', '10382.2*A', '09614.*A', '10509.*A', '10605.*A', '10512.*A', '10653.*A', '10665.*A', '10736.*A', '10746.2*A', '10824.*A', '10615.2*A', '10885.*A', '10899.*A', '10938.*A', '11098.*A', '11098.2*A', '11816.6*A', '11884.*A', '12077.*A', '12151.01*A', '12160.1*A', '12693.*A', '12794.*A', '17757.*A', '17668.2*A', '17695.*A', '17746.*A', '18603.*A', '18157.*A', '18609.*A', '18753.*A', '20069.11*A', '20480.2*A', '20126.*A', '21252.*A', '23055.*A', '23097.*A', '23121.*A', '22905.*A', '27346.*A', '27166.*A', '27168.1*A', '27465.*A', '27356.*A', '27373.*A', '27505.*A', '27518.*A', '27667.*A', '27682.*A', '26768.*A']"
100,04650.1*A,"['00128.*A', '00146.*A', '00164.*A', '00498.*A', '00987.*A', '01132.*A', '01165.*A', '01176.*A', '03642.*A', '03728.*A', '03641.*A', '03643.*A', '03639.*A', '03805.*A', '05829.*A', '05839.5*A', '06022.11*A', '06039.1*A', '06057.1*A', '06070.*A', '06147.1*A', '06089.*A', '05903.*A', '04427.*A', '04444.*A', '04508.1*A', '04507.*A', '04567.*A', '04938.*A', '04767.*A', '04824.*A', '04870.*A', '04503.*A', '05388.11*A', '05375.*A', '05281.*A', '05738.*A', '06811.*A', '06721.*A', '07055.*A', '07796.*A', '09524.*A', '10228.*A', '09725.*A', '09657.*A', '09834.*A', '09847.*A', '10092.*A', '09977.*A', '10034.*A', '10382.2*A', '09614.*A', '10509.*A', '10824.*A', '11098.*A', '11816.6*A', '11884.*A', '12077.*A', '12151.01*A', '12160.1*A', '11444.*A', '11270.*A', '17220.*A', '12794.*A', '17757.*A', '17668.2*A', '17695.*A', '17746.*A', '18603.*A', '18157.*A', '18609.*A', '18753.*A', '18876.11*A', '19080.*A', '19143.*A', '19166.*A', '19199.2*A', '19253.1*A', '19283.*A', '19289.2*A', '20480.2*A', '20126.*A', '21252.*A', '22309.*A', '23055.*A', '22899.*A', '23097.*A', '23121.*A', '22905.*A', '25986.*A', '27346.*A', '27168.1*A', '27356.*A', '27373.*A', '27505.*A', '27518.*A', '27667.*A', '27682.*A', '26627.*A', '26768.*A']"
101,04938.*A,"['00987.*A', '01132.*A', '01165.*A', '01176.*A', '05829.*A', '05839.5*A', '06022.11*A', '06039.1*A', '06057.1*A', '06070.*A', '06147.1*A', '06089.*A', '05903.*A', '04427.*A', '04444.*A', '04508.1*A', '04507.*A', '04567.*A', '04650.1*A', '04767.*A', '04824.*A', '04870.*A', '04503.*A', '05388.11*A', '05375.*A', '05281.*A', '05738.*A', '06811.*A', '06721.*A', '07055.*A', '09524.*A', '10228.*A', '09725.*A', '09657.*A', '09834.*A', '09847.*A', '10092.*A', '09977.*A', '10034.*A', '10382.2*A', '09614.*A', '10509.*A', '10605.*A', '10512.*A', '10653.*A', '10665.*A', '10736.*A', '10746.2*A', '10824.*A', '10615.2*A', '10885.*A', '10899.*A', '10938.*A', '11098.*A', '11098.2*A', '11816.6*A', '11884.*A', '12077.*A', '12151.01*A', '12160.1*A', '11270.*A', '12693.*A', '12794.*A', '12817.*A', '17757.*A', '17668.2*A', '17695.*A', '17746.*A', '18603.*A', '18157.*A', '18609.*A', '18753.*A', '18876.11*A', '19143.*A', '19166.*A', '19199.2*A', '19253.1*A', '19283.*A', '19289.2*A', '20480.2*A', '21252.*A', '23055.*A', '22899.*A', '23097.*A', '23121.*A', '22905.*A', '27346.*A', '27166.*A', '27168.1*A', '27465.*A', '27356.*A', '27373.*A', '27505.*A', '27518.*A', '27667.*A', '27682.*A']"
102,04767.*A,"['01132.*A', '01165.*A', '01176.*A', '05829.*A', '05839.5*A', '06022.11*A', '06039.1*A', '06057.1*A', '06070.*A', '06147.1*A', '06089.*A', '05903.*A', '04427.*A', '04444.*A', '04508.1*A', '04507.*A', '04567.*A', '04650.1*A', '04938.*A', '04824.*A', '04870.*A', '04503.*A', '05388.11*A', '05375.*A', '05281.*A', '05738.*A', '06811.*A', '06721.*A', '07055.*A', '09524.*A', '10228.*A', '09725.*A', '09657.*A', '09834.*A', '09847.*A', '10092.*A', '09977.*A', '10034.*A', '10382.2*A', '09614.*A', '10509.*A', '10605.*A', '10512.*A', '10653.*A', '10665.*A', '10736.*A', '10746.2*A', '10824.*A', '10615.2*A', '10885.*A', '10899.*A', '10938.*A', '11098.*A', '11098.2*A', '11816.6*A', '11884.*A', '12077.*A', '12151.01*A', '12160.1*A', '12794.*A', '17757.*A', '17668.2*A', '17695.*A', '17746.*A', '18603.*A', '18157.*A', '18609.*A', '18753.*A', '20069.11*A', '20480.2*A', '20126.*A', '21252.*A', '23055.*A', '22899.*A', '23097.*A', '23121.*A', '22905.*A', '27346.*A', '27166.*A', '27168.1*A', '27465.*A', '27356.*A', '27373.*A', '27505.*A', '27518.*A', '27667.*A', '27682.*A', '26627.*A', '26768.*A']"
103,04824.*A,"['00128.*A', '00164.*A', '00498.*A', '00987.*A', '01132.*A', '01165.*A', '01176.*A', '03642.*A', '03643.*A', '03639.*A', '03805.*A', '05829.*A', '05839.5*A', '06022.11*A', '06039.1*A', '06057.1*A', '06070.*A', '06147.1*A', '06089.*A', '05903.*A', '04427.*A', '04444.*A', '04508.1*A', '04507.*A', '04567.*A', '04650.1*A', '04938.*A', '04767.*A', '04870.*A', '04503.*A', '05388.11*A', '05375.*A', '05281.*A', '05738.*A', '06811.*A', '06721.*A', '07055.*A', '07796.*A', '09524.*A', '10228.*A', '09725.*A', '09657.*A', '09834.*A', '09847.*A', '10092.*A', '09977.*A', '10034.*A', '10382.2*A', '09614.*A', '10509.*A', '10605.*A', '10736.*A', '10746.2*A', '10824.*A', '10938.*A', '11098.*A', '11098.2*A', '11816.6*A', '11884.*A', '12077.*A', '12151.01*A', '12160.1*A', '11444.*A', '11270.*A', '12693.*A', '12794.*A', '17757.*A', '17668.2*A', '17695.*A', '17746.*A', '18603.*A', '18157.*A', '18609.*A', '18753.*A', '18771.*A', '18855.*A', '18876.11*A', '18989.*A', '19080.*A', '19143.*A', '19166.*A', '19199.2*A', '19253.1*A', '19283.*A', '19289.2*A', '23055.*A', '22899.*A', '23097.*A', '23121.*A', '22905.*A', '27346.*A', '27166.*A', '27168.1*A', '27465.*A', '27356.*A', '27373.*A', '27505.*A', '27518.*A', '27667.*A', '27682.*A']"
104,04870.*A,"['00987.*A', '01132.*A', '01165.*A', '01176.*A', '05829.*A', '05839.5*A', '06022.11*A', '06039.1*A', '06057.1*A', '06070.*A', '06147.1*A', '06089.*A', '05903.*A', '04427.*A', '04444.*A', '04508.1*A', '04507.*A', '04567.*A', '04650.1*A', '04938.*A', '04767.*A', '04824.*A', '04503.*A', '05388.11*A', '05375.*A', '05281.*A', '05738.*A', '06811.*A', '06721.*A', '07055.*A', '09524.*A', '10228.*A', '09725.*A', '09657.*A', '09834.*A', '09847.*A', '10092.*A', '09977.*A', '10034.*A', '10382.2*A', '09614.*A', '10509.*A', '10605.*A', '10512.*A', '10653.*A', '10665.*A', '10736.*A', '10746.2*A', '10824.*A', '10615.2*A', '10885.*A', '10899.*A', '10938.*A', '11098.*A', '11098.2*A', '11816.6*A', '11884.*A', '12077.*A', '12151.01*A', '12160.1*A', '11270.*A', '12693.*A', '12794.*A', '12817.*A', '17757.*A', '17668.2*A', '17746.*A', '18603.*A', '18157.*A', '18609.*A', '18855.*A', '18876.11*A', '19143.*A', '19166.*A', '19199.2*A', '19253.1*A', '19283.*A', '19289.2*A', '23055.*A', '23097.*A', '23121.*A', '22905.*A', '27346.*A', '27166.*A', '27168.1*A', '27465.*A', '27356.*A', '27373.*A', '27505.*A', '27518.*A', '27667.*A', '27682.*A']"
105,04503.*A,"['01132.*A', '05829.*A', '05839.5*A', '06022.11*A', '06039.1*A', '06057.1*A', '06070.*A', '06147.1*A', '06089.*A', '05903.*A', '04427.*A', '04444.*A', '04508.1*A', '04507.*A', '04567.*A', '04650.1*A', '04938.*A', '04767.*A', '04824.*A', '04870.*A', '05388.11*A', '05375.*A', '05281.*A', '05738.*A', '06811.*A', '06721.*A', '07055.*A', '09524.*A', '10228.*A', '09725.*A', '09657.*A', '09834.*A', '09847.*A', '10092.*A', '09977.*A', '10034.*A', '10382.2*A', '09614.*A', '10509.*A', '10605.*A', '10512.*A', '10653.*A', '10665.*A', '10736.*A', '10746.2*A', '10824.*A', '10615.2*A', '10885.*A', '10899.*A', '10938.*A', '11098.*A', '11098.2*A', '11816.6*A', '11884.*A', '12077.*A', '12151.01*A', '12160.1*A', '12794.*A', '17757.*A', '17668.2*A', '17695.*A', '17746.*A', '18603.*A', '18157.*A', '18609.*A', '18753.*A', '20069.11*A', '20480.2*A', '20126.*A', '21252.*A', '23055.*A', '23121.*A', '22905.*A', '27346.*A', '27166.*A', '27168.1*A', '27465.*A', '27356.*A', '27373.*A', '27505.*A', '27518.*A', '27667.*A', '27682.*A', '26627.*A', '26768.*A']"
106,05388.11*A,"['00128.*A', '00146.*A', '00164.*A', '00498.*A', '01132.*A', '01165.*A', '01176.*A', '03642.*A', '03728.*A', '03641.*A', '03643.*A', '03639.*A', '03805.*A', '05829.*A', '06022.11*A', '06039.1*A', '06070.*A', '06089.*A', '04427.*A', '04444.*A', '04508.1*A', '04507.*A', '04567.*A', '04650.1*A', '04938.*A', '04767.*A', '04824.*A', '04870.*A', '04503.*A', '05375.*A', '05281.*A', '05738.*A', '06811.*A', '07055.*A', '08559.*A', '08551.*A', '09524.*A', '10228.*A', '09725.*A', '09657.*A', '09834.*A', '09847.*A', '10092.*A', '09977.*A', '10034.*A', '10382.2*A', '09614.*A', '11816.6*A', '11884.*A', '12077.*A', '12151.01*A', '12160.1*A', '11444.*A', '11270.*A', '17205.1*A', '16761.*A', '17220.*A', '17757.*A', '17668.2*A', '17695.*A', '17746.*A', '18603.*A', '18157.*A', '18609.*A', '18753.*A', '20069.11*A', '20480.2*A', '20503.*A', '20126.*A', '21252.*A', '22209.*A', '22309.*A', '22210.*A', '23055.*A', '22899.*A', '23097.*A', '23121.*A', '22905.*A', '25863.*A', '25977.*A', '25986.*A', '27346.*A', '27168.1*A', '27356.*A', '27505.*A', '27518.*A', '27667.*A', '27682.*A', '26627.*A', '26768.*A']"
107,05375.*A,"['00128.*A', '00146.*A', '00164.*A', '00498.*A', '01132.*A', '01165.*A', '01176.*A', '03642.*A', '03641.*A', '03643.*A', '03639.*A', '03805.*A', '05829.*A', '05839.5*A', '06022.11*A', '06039.1*A', '06057.1*A', '06070.*A', '06089.*A', '05903.*A', '04427.*A', '04444.*A', '04508.1*A', '04507.*A', '04567.*A', '04650.1*A', '04938.*A', '04767.*A', '04824.*A', '04870.*A', '04503.*A', '05388.11*A', '05281.*A', '05738.*A', '06811.*A', '06721.*A', '07055.*A', '08559.*A', '09524.*A', '10228.*A', '09725.*A', '09657.*A', '09834.*A', '09847.*A', '10092.*A', '09977.*A', '10034.*A', '10382.2*A', '09614.*A', '10509.*A', '11098.*A', '11816.6*A', '11884.*A', '12077.*A', '12151.01*A', '12160.1*A', '11444.*A', '11270.*A', '17220.*A', '17757.*A', '17668.2*A', '17695.*A', '17746.*A', '18603.*A', '18157.*A', '18609.*A', '18753.*A', '20069.11*A', '20480.2*A', '20126.*A', '21252.*A', '22209.*A', '22309.*A', '22210.*A', '23055.*A', '22899.*A', '23097.*A', '23121.*A', '22905.*A', '25863.*A', '25986.*A', '27346.*A', '27166.*A', '27168.1*A', '27356.*A', '27373.*A', '27505.*A', '27518.*A', '27667.*A', '27682.*A', '26627.*A', '26768.*A']"
108,05281.*A,"['01132.*A', '03642.*A', '03805.*A', '05829.*A', '06022.11*A', '06039.1*A', '06057.1*A', '06070.*A', '06089.*A', '04427.*A', '04444.*A', '04508.1*A', '04507.*A', '04567.*A', '04650.1*A', '04938.*A', '04767.*A', '04824.*A', '04870.*A', '04503.*A', '05388.11*A', '05375.*A', '05738.*A', '07055.*A', '08559.*A', '08551.*A', '09524.*A', '10228.*A', '09725.*A', '09657.*A', '09834.*A', '09847.*A', '10092.*A', '09977.*A', '10034.*A', '10382.2*A', '09614.*A', '10509.*A', '10824.*A', '11098.*A', '11884.*A', '12077.*A', '12151.01*A', '12160.1*A', '17220.*A', '15100.01*A', '16269.*A', '17757.*A', '17668.2*A', '17695.*A', '17746.*A', '18603.*A', '18157.*A', '18609.*A', '18753.*A', '20069.11*A', '20480.2*A', '20503.*A', '20126.*A', '21252.*A', '22309.*A', '23055.*A', '22899.*A', '23097.*A', '23121.*A', '22905.*A', '25863.*A', '25977.*A', '25986.*A', '27346.*A', '27166.*A', '27168.1*A', '27465.*A', '27356.*A', '27373.*A', '27505.*A', '27518.*A', '27667.*A', '27682.*A', '26627.*A', '26768.*A']"
