,Site_ID,Name,State,City,ARP_Latitude,ARP_Longitude,NPIAS_Category,CH_Latitude,CH_Longitude,Distance
1382573,27465.*A,L O Simenstad Muni,Wisconsin,Osceola,45.30934444444444,-92.69012222222223,Reliever,45.32144921347732,-92.6848171983948,0.8756719787218953
1384504,27356.*A,Marshfield Muni,Wisconsin,Marshfield,44.63688055555556,-90.18932777777778,Reliever,44.647316,-90.188801,0.7218934530068447
1385226,27373.*A,Menomonie Muni-Score Fld,Wisconsin,Menomonie,44.89233333333333,-91.86780555555555,Reliever,44.901294,-91.856412,0.8337100065028884
1390148,27505.*A,Prairie Du Chien Muni,Wisconsin,Prairie Du Chien,43.01928611111111,-91.12373333333332,Reliever,43.029262,-91.128131,0.7245878263202064
1391002,27518.*A,Reedsburg Muni,Wisconsin,Reedsburg,43.5259,-89.98322222222222,Reliever,43.532932,-89.983919,0.4873925447254592
1391284,27518.*A,Reedsburg Muni,Wisconsin,Reedsburg,43.5259,-89.98322222222222,Reliever,43.531863,-89.995424,0.7375503425485186
1399724,27667.*A,Wausau Downtown,Wisconsin,Wausau,44.92628333333333,-89.62700277777778,Reliever,44.929573,-89.613274,0.7094040065087445
1399869,27667.*A,Wausau Downtown,Wisconsin,Wausau,44.92628333333333,-89.62700277777778,Reliever,44.934705,-89.614831,0.8329827825339671
1400589,27682.*A,West Bend Muni,Wisconsin,West Bend,43.42216666666666,-88.12791666666666,Reliever,43.42674,-88.141175,0.7369614995941889
1401599,26627.*A,Elkins-Randolph County-Jennings Randolph Fld,West Virginia,Elkins,38.88944444444444,-79.85713888888888,Reliever,38.890846,-79.846354,0.5883610590215517
1402266,26768.*A,Morgantown Muni-Walter L Bill Hart Fld,West Virginia,Morgantown,39.643594444444446,-79.91754722222223,Reliever,39.644868,-79.9276,0.5423385243827104
1402321,26768.*A,Morgantown Muni-Walter L Bill Hart Fld,West Virginia,Morgantown,39.643594444444446,-79.91754722222223,Reliever,39.649281,-79.921765,0.45272175063235176
1403022,27759.*A,Cheyenne Rgnl/Jerry Olson Fld,Wyoming,Cheyenne,41.15563888888889,-104.81047222222222,Reliever,41.1611,-104.805,0.4729295612617241
