,Site_ID,Name,State,City,ARP_Latitude,ARP_Longitude,NPIAS_Category
996801,18771.*A,Ada Rgnl,Oklahoma,Ada,34.80426111111111,-96.6712,Reliever
1003457,18855.*A,Chandler Rgnl,Oklahoma,Chandler,35.72408333333333,-96.82027777777778,Reliever
1006028,18876.11*A,Cleveland Muni,Oklahoma,Cleveland,36.284166666666664,-96.46333333333334,Reliever
1008447,18978.32*A,David Jay Perry,Oklahoma,Goldsby,35.15506666666666,-97.47039444444445,Reliever
1013962,18989.*A,Guthrie-Edmond Rgnl,Oklahoma,Guthrie,35.85152222222222,-97.41617777777779,Reliever
1022224,19080.*A,Mc Alester Rgnl,Oklahoma,Mc Alester,34.88238888888889,-95.78347222222222,Reliever
1026388,19143.*A,Okmulgee Rgnl,Oklahoma,Okmulgee,35.66811111111111,-95.94852777777778,Reliever
1028154,19166.*A,Ponca City Rgnl,Oklahoma,Ponca City,36.73191666666667,-97.09977777777777,Reliever
1030759,19199.2*A,Sallisaw Muni,Oklahoma,Sallisaw,35.43825,-94.80291666666666,Reliever
1036293,19253.1*A,Tahlequah Muni,Oklahoma,Tahlequah,35.930277777777775,-95.00452777777778,Reliever
1037723,19307.2*A,Thomas P Stafford,Oklahoma,Weatherford,35.54580555555555,-98.66850000000001,Reliever
1038830,19283.*A,Tulsa Intl,Oklahoma,Tulsa,36.198388888888886,-95.88811111111112,Small
1039146,19122.*A,University Of Oklahoma Westheimer,Oklahoma,Norman,35.245555555555555,-97.47213888888889,Reliever
1039735,19289.2*A,Vinita Muni,Oklahoma,Vinita,36.61461666666667,-95.15169444444444,Reliever
1040428,19295.11*A,Walters Muni,Oklahoma,Walters,34.37258333333333,-98.40588611111112,Reliever
1043383,19136.*A,Will Rogers World,Oklahoma,Oklahoma City,35.393074999999996,-97.60076111111111,Small
1043870,19345.*A,Albany Muni,Oregon,Albany,44.637816666666666,-123.05945,Reliever
1044129,19352.1*A,Ashland Muni-Sumner Parker Fld,Oregon,Ashland,42.19027777777777,-122.6606388888889,Reliever
1046636,19403.*A,Chiloquin State,Oregon,Chiloquin,42.57931944444445,-121.87901388888888,Reliever
1048019,19411.1*A,Cottage Grove State,Oregon,Cottage Grove,43.804069444444444,-123.03211666666667,Reliever
1053776,19595.*A,Mcnary Fld,Oregon,Salem,44.909527777777775,-123.0025,Reliever
1055111,19571.5*A,Portland-Hillsboro,Oregon,Portland,45.54212222222222,-122.95072222222223,Reliever
1055874,19572.*A,Portland-Troutdale,Oregon,Portland,45.54936111111111,-122.40125,Reliever
1056674,19514.*A,Rogue Valley Intl - Medford,Oregon,Medford,42.37496388888889,-122.87328888888888,Small
1056824,19589.*A,Roseburg Rgnl,Oregon,Roseburg,43.239336111111115,-123.35584999999999,Reliever
1063375,20069.11*A,Clarion County,Pennsylvania,Clarion,41.224944444444446,-79.44216666666667,Reliever
1067846,20480.2*A,Grove City,Pennsylvania,Grove City,41.146027777777775,-80.16775,Reliever
1068087,20503.*A,Harrisburg Intl,Pennsylvania,Harrisburg,40.193191666666664,-76.76261944444444,Small
1070364,20126.*A,Joseph A Hardy Connellsville,Pennsylvania,Connellsville,39.95905555555556,-79.65741666666668,Reliever
1071188,19673.*A,Lehigh Valley Intl,Pennsylvania,Allentown,40.652363888888885,-75.44040555555556,Non-Hub
1075300,21252.*A,Pittsburgh Intl,Pennsylvania,Pittsburgh,40.491416666666666,-80.23269444444445,Medium
1083881,21979.1*A,Newport State,Rhode Island,Newport,41.53243888888889,-71.28154444444445,Reliever
1083989,22024.*A,Theodore Francis Green State,Rhode Island,Providence,41.72233333333334,-71.42772222222223,Small
1085989,22209.*A,Columbia Metro,South Carolina,Columbia,33.93883888888889,-81.1195361111111,Small
1087657,22309.*A,Greenville Downtown,South Carolina,Greenville,34.847944444444444,-82.35,Reliever
1088502,22210.*A,Jim Hamilton L B Owens,South Carolina,Columbia,33.97047222222223,-80.99525,Reliever
1093678,22603.*A,Aberdeen Rgnl,South Dakota,Aberdeen,45.446797222222216,-98.42244166666667,Non-Hub
1095393,22675.1*A,Faulkton Muni,South Dakota,Faulkton,45.03067222222222,-99.11287222222222,Reliever
1099750,22817.*A,Wall Muni,South Dakota,Wall,43.99922222222222,-102.2535,Reliever
1109492,23055.*A,Lebanon Muni,Tennessee,Lebanon,36.19041111111111,-86.31569166666667,Reliever
1110090,22899.*A,Lovell Fld,Tennessee,Chattanooga,35.03519444444444,-85.20355555555555,Small
1112189,23097.*A,Memphis Intl,Tennessee,Memphis,35.04241111111111,-89.97668055555556,Small
1113743,23121.*A,Nashville Intl,Tennessee,Nashville,36.124475000000004,-86.67818055555556,Medium
1114197,22905.*A,Outlaw Fld,Tennessee,Clarksville,36.62186111111111,-87.41494444444444,Reliever
1121385,23307.*A,Alpine-Casparis Muni,Texas,Alpine,30.38422222222222,-103.68358333333333,Reliever
1141741,23522.2*A,Burnet Muni Kate Craddock Fld,Texas,Burnet,30.73892777777778,-98.23861111111111,Reliever
1162228,24072.1*A,Conroe-North Houston Rgnl,Texas,Houston,30.353394444444447,-95.41508333333334,Reliever
1173230,23713.*A,Dallas Love Fld,Texas,Dallas,32.84594444444445,-96.85087777777777,Medium
1194769,23895.11*A,Fort Worth Spinks,Texas,Fort Worth,32.56513333333333,-97.30843888888889,Reliever
1208947,23965.1*A,Granbury Rgnl,Texas,Granbury,32.44441666666666,-97.81694444444445,Reliever
1230379,23454.*A,Jones Fld,Texas,Bonham,33.61309166666667,-96.179325,Reliever
1231202,24149.11*A,Kenedy Rgnl,Texas,Kenedy,28.824986111111112,-97.86556944444443,Reliever
1235022,24135.*A,Kimble County,Texas,Junction,30.511111111111113,-99.7628888888889,Reliever
1242025,24194.*A,Laredo Intl,Texas,Laredo,27.544194444444447,-99.46158333333334,Non-Hub
1258647,23710.38*A,Mckinney Ntl,Texas,Dallas,33.17706666666666,-96.58876666666666,Reliever
1301263,24163.*A,Skylark Fld,Texas,Killeen,31.085833333333333,-97.68650000000001,Reliever
1309859,24067.61*A,Sugar Land Rgnl,Texas,Houston,29.622247222222224,-95.65653333333334,Reliever
1311191,24889.*A,Taylor Muni,Texas,Taylor,30.57263888888889,-97.44319444444444,Reliever
1319984,24976.*A,Waco Rgnl,Texas,Waco,31.612194444444444,-97.23030555555556,Non-Hub
1327956,25117.*A,Cedar City Rgnl,Utah,Cedar City,37.700969444444446,-113.09885,Non-Hub
1331396,25289.*A,Salt Lake City Intl,Utah,Salt Lake City,40.78839444444444,-111.97777222222223,Large
1331566,25287.*A,South Valley Rgnl,Utah,Salt Lake City,40.61955555555556,-111.99288888888888,Reliever
1332097,25324.*A,Vernal Rgnl,Utah,Vernal,40.436077777777776,-109.51142222222222,Non-Hub
1338565,25863.*A,Lynchburg Rgnl/Preston Glenn Fld,Virginia,Lynchburg,37.325388888888895,-79.20122222222223,Non-Hub
1341490,25977.*A,Richmond Intl,Virginia,Richmond,37.505180555555555,-77.31973888888888,Small
1341837,25986.*A,Roanoke-Blacksburg Rgnl/Woodrum Fld,Virginia,Roanoke,37.325472222222224,-79.97541666666667,Non-Hub
1345772,25348.*A,Edward F Knapp State,Vermont,Barre/Montpelier,44.20348888888889,-72.56209722222222,Reliever
1345903,25496.1*A,Morrisville-Stowe State,Vermont,Morrisville,44.53436111111111,-72.61399999999999,Reliever
1349739,26144.*A,Chehalis-Centralia,Washington,Chehalis,46.677027777777774,-122.98275,Reliever
1350058,26159.*A,Cle Elum Muni,Washington,Cle Elum,47.19424166666666,-120.88403611111112,Reliever
1352321,26417.*A,Felts Fld,Washington,Spokane,47.682941666666665,-117.322425,Reliever
1358617,26444.*A,Pearson Fld,Washington,Vancouver,45.62045277777778,-122.6564888888889,Reliever
1359743,26369.*A,Prosser,Washington,Prosser,46.21336111111111,-119.79555555555555,Reliever
1360147,26372.*A,Pullman/Moscow Rgnl,Washington,Pullman/Moscow,46.74169166666667,-117.11161944444444,Non-Hub
1360954,26381.*A,Renton Muni,Washington,Renton,47.49313888888889,-122.21575,Reliever
1361227,26386.1*A,Richland,Washington,Richland,46.305638888888886,-119.30418888888889,Reliever
1362474,26395.*A,Seattle-Tacoma Intl,Washington,Seattle,47.449888888888886,-122.31177777777778,Large
1362798,26125.1*A,Skagit Rgnl,Washington,Burlington/Mount Vernon,48.470525,-122.4216888888889,Reliever
1374172,27346.*A,Dane County Rgnl-Truax Fld,Wisconsin,Madison,43.13987777777778,-89.33750555555555,Small
1375270,27166.*A,Eagle River Union,Wisconsin,Eagle River,45.93233333333333,-89.26827777777778,Reliever
1375822,27168.1*A,East Troy Muni,Wisconsin,East Troy,42.79716666666666,-88.3726111111111,Reliever
1382573,27465.*A,L O Simenstad Muni,Wisconsin,Osceola,45.30934444444444,-92.69012222222223,Reliever
1384504,27356.*A,Marshfield Muni,Wisconsin,Marshfield,44.63688055555556,-90.18932777777778,Reliever
1385226,27373.*A,Menomonie Muni-Score Fld,Wisconsin,Menomonie,44.89233333333333,-91.86780555555555,Reliever
1390148,27505.*A,Prairie Du Chien Muni,Wisconsin,Prairie Du Chien,43.01928611111111,-91.12373333333332,Reliever
1391002,27518.*A,Reedsburg Muni,Wisconsin,Reedsburg,43.5259,-89.98322222222222,Reliever
1399724,27667.*A,Wausau Downtown,Wisconsin,Wausau,44.92628333333333,-89.62700277777778,Reliever
1400589,27682.*A,West Bend Muni,Wisconsin,West Bend,43.42216666666666,-88.12791666666666,Reliever
1401599,26627.*A,Elkins-Randolph County-Jennings Randolph Fld,West Virginia,Elkins,38.88944444444444,-79.85713888888888,Reliever
1402266,26768.*A,Morgantown Muni-Walter L Bill Hart Fld,West Virginia,Morgantown,39.643594444444446,-79.91754722222223,Reliever
1403022,27759.*A,Cheyenne Rgnl/Jerry Olson Fld,Wyoming,Cheyenne,41.15563888888889,-104.81047222222222,Reliever
