,Site_ID,Name,State,City,ARP_Latitude,ARP_Longitude,NPIAS_Category
3679,55030.*A,Henry E Rohlsen,Virgin Islands,Christiansted,17.701505555555556,-64.80194166666666,Non-Hub
3680,25385.*A,Burlington Intl,Vermont,Burlington,44.47195555555556,-73.15327500000001,Small
3681,25476.*A,Caledonia County,Vermont,Lyndonville,44.56911388888889,-72.01797777777777,Reliever
3682,25348.*A,Edward F Knapp State,Vermont,Barre/Montpelier,44.20348888888889,-72.56209722222222,Reliever
3683,25436.*A,Franklin County State,Vermont,Highgate,44.94027777777777,-73.09747222222222,Reliever
3684,25550.*A,Hartness State (Springfield),Vermont,Springfield,43.343722222222226,-72.51727777777778,Reliever
3686,25483.1*A,Middlebury State,Vermont,Middlebury,43.98647777777778,-73.09554999999999,Reliever
3687,25496.1*A,Morrisville-Stowe State,Vermont,Morrisville,44.53436111111111,-72.61399999999999,Reliever
3688,25499.*A,Northeast Kingdom Intl,Vermont,Newport,44.88817777777778,-72.22863611111111,Reliever
3689,25526.*A,Rutland - Southern Vermont Rgnl,Vermont,Rutland,43.52973055555555,-72.949625,Reliever
3690,25361.*A,William H Morse State,Vermont,Bennington,42.891194444444444,-73.24608333333333,Reliever
3691,26098.1*A,Anacortes,Washington,Anacortes,48.4985,-122.66250000000001,Reliever
3692,26123.1*A,Anderson Fld,Washington,Brewster,48.10472777777778,-119.71991666666666,Reliever
3693,26099.*A,Arlington Muni,Washington,Arlington,48.16075,-122.15902777777778,Reliever
3694,26103.11*A,Auburn Muni,Washington,Auburn,47.32769444444445,-122.22666666666667,Reliever
3696,26109.*A,Bellingham Intl,Washington,Bellingham,48.79269444444444,-122.53752777777778,Non-Hub
3697,26396.*A,Boeing Fld/King County Intl,Washington,Seattle,47.52997222222222,-122.30194444444444,Non-Hub
3698,26236.*A,Bowerman,Washington,Hoquiam,46.97119444444445,-123.93655555555556,Reliever
3699,26195.*A,Bowers Fld,Washington,Ellensburg,47.034844444444445,-120.52885833333333,Reliever
3700,26120.*A,Bremerton Ntl,Washington,Bremerton,47.49025,-122.76480555555555,Reliever
3701,26135.*A,Cashmere-Dryden,Washington,Cashmere,47.51475,-120.48466666666667,Reliever
3702,26144.*A,Chehalis-Centralia,Washington,Chehalis,46.677027777777774,-122.98275,Reliever
3704,26159.*A,Cle Elum Muni,Washington,Cle Elum,47.19424166666666,-120.88403611111112,Reliever
3705,26165.*A,Colville Muni,Washington,Colville,48.54416944444444,-117.883525,Reliever
3708,26181.*A,Davenport,Washington,Davenport,47.653555555555556,-118.16877777777778,Reliever
3709,26184.*A,Deer Park,Washington,Deer Park,47.96705555555556,-117.42858333333334,Reliever
3710,26333.*A,Dorothy Scott Intl,Washington,Oroville,48.95897222222222,-119.41197222222223,Reliever
3712,26437.*A,Ed Carlson Meml Fld - South Lewis County,Washington,Toledo,46.47716666666667,-122.80647777777777,Reliever
3713,26204.*A,Ephrata Muni,Washington,Ephrata,47.30807222222222,-119.5169138888889,Reliever
3714,26417.*A,Felts Fld,Washington,Spokane,47.682941666666665,-117.322425,Reliever
3717,26219.4*A,Friday Harbor,Washington,Friday Harbor,48.521972222222225,-123.0243611111111,Non-Hub
3719,26193.1*A,Grand Coulee Dam,Washington,Electric City,47.92205555555555,-119.083,Reliever
3720,26307.*A,Grant County Intl,Washington,Moses Lake,47.20858333333334,-119.31913888888889,Reliever
3721,26130.*A,Grove Fld,Washington,Camas,45.627830555555555,-122.40431111111111,Reliever
3722,26240.5*A,Ione Muni,Washington,Ione,48.70843888888889,-117.41313055555555,Reliever
3723,26363.*A,Jefferson County Intl,Washington,Port Townsend,48.053805555555556,-122.81063888888889,Reliever
3724,26147.*A,Lake Chelan,Washington,Chelan,47.86601111111111,-119.94270277777778,Reliever
3728,26274.7*A,Lopez Island,Washington,Lopez,48.483916666666666,-122.93766666666667,Reliever
3734,26477.*A,Methow Valley State,Washington,Winthrop,48.42494722222222,-120.14588611111112,Reliever
3736,26323.21*A,Ocean Shores Muni,Washington,Ocean Shores,46.99921944444444,-124.14238333333334,Reliever
3737,26323.4*A,Odessa Muni,Washington,Odessa,47.34758333333333,-118.67722222222223,Reliever
3739,26327.*A,Olympia Rgnl,Washington,Olympia,46.96940555555556,-122.90254444444444,Reliever
3740,26330.*A,Omak,Washington,Omak,48.46441111111111,-119.51805555555555,Reliever
3741,26190.*A,Orcas Island,Washington,Eastsound,48.708336111111116,-122.91059444444446,Non-Hub
3742,26336.2*A,Othello Muni,Washington,Othello,46.79422222222222,-119.08011111111111,Reliever
3743,26341.*A,Packwood,Washington,Packwood,46.60416111111111,-121.67790000000001,Reliever
3744,26461.*A,Pangborn Meml,Washington,Wenatchee,47.398805555555555,-120.20683333333334,Non-Hub
3745,26444.*A,Pearson Fld,Washington,Vancouver,45.62045277777778,-122.6564888888889,Reliever
3746,26374.1*A,Pierce County - Thun Fld,Washington,Puyallup,47.10391944444444,-122.2872,Reliever
3748,26162.*A,Port Of Whitman Business Air Center,Washington,Colfax,46.85870833333333,-117.41408055555556,Reliever
3749,26369.*A,Prosser,Washington,Prosser,46.21336111111111,-119.79555555555555,Reliever
3750,26388.*A,Pru Fld,Washington,Ritzville,47.12345277777778,-118.38932777777778,Reliever
3751,26372.*A,Pullman/Moscow Rgnl,Washington,Pullman/Moscow,46.74169166666667,-117.11161944444444,Non-Hub
3752,26376.5*A,Quillayute,Washington,Quillayute,47.93658333333333,-124.56263333333332,Reliever
3755,26381.*A,Renton Muni,Washington,Renton,47.49313888888889,-122.21575,Reliever
3756,26386.1*A,Richland,Washington,Richland,46.305638888888886,-119.30418888888889,Reliever
3758,26389.1*A,Rosalia Muni,Washington,Rosalia,47.23656666666667,-117.42137777777778,Reliever
3759,26405.*A,Sanderson Fld,Washington,Shelton,47.233555555555554,-123.14755555555556,Reliever
3760,26395.*A,Seattle-Tacoma Intl,Washington,Seattle,47.449888888888886,-122.31177777777778,Large
3762,26125.1*A,Skagit Rgnl,Washington,Burlington/Mount Vernon,48.470525,-122.4216888888889,Reliever
3764,26210.*A,Snohomish County (Paine Fld),Washington,Everett,47.90731666666667,-122.28209444444444,Reliever
3765,26246.*A,Southwest Washington Rgnl,Washington,Kelso,46.118,-122.89836111111111,Reliever
3766,26416.*A,Spokane Intl,Washington,Spokane,47.61902777777778,-117.53522222222222,Small
3770,26428.*A,Sunnyside Muni,Washington,Sunnyside,46.327083333333334,-119.97036111111112,Reliever
3772,26434.4*A,Tacoma Narrows,Washington,Tacoma,47.267944444444446,-122.57811111111111,Reliever
3775,26345.*A,Tri-Cities,Washington,Pasco,46.26468055555556,-119.119025,Non-Hub
3777,26448.*A,Vashon Muni,Washington,Vashon,47.45858888888889,-122.47697222222223,Reliever
3778,26450.*A,Walla Walla Rgnl,Washington,Walla Walla,46.09254166666667,-118.28408333333333,Non-Hub
3782,26471.*A,Wilbur,Washington,Wilbur,47.75338888888889,-118.74391666666666,Reliever
3785,26357.*A,William R Fairchild Intl,Washington,Port Angeles,48.120194444444444,-123.49969444444444,Reliever
3788,26480.*A,Yakima Air Trml/Mcallister Fld,Washington,Yakima,46.56816666666667,-120.54405555555556,Non-Hub
3789,27213.1*A,Adams County Legion Fld,Wisconsin,Friendship (Adams),43.96058888888889,-89.78864444444444,Reliever
3790,27712.2*A,Alexander Fld South Wood County,Wisconsin,Wisconsin Rapids,44.36035555555556,-89.83903888888888,Reliever
3791,27005.2*A,Amery Muni,Wisconsin,Amery,45.28114722222222,-92.37539166666666,Reliever
3792,27013.1*A,Appleton Intl,Wisconsin,Appleton,44.25808333333333,-88.51908333333333,Non-Hub
3793,27036.*A,Baraboo-Wisconsin Dells Rgnl,Wisconsin,Baraboo,43.52202777777778,-89.77125,Reliever
3795,27049.1*A,Black River Falls Area,Wisconsin,Black River Falls,44.25073888888889,-90.85528055555555,Reliever
3797,27055.*A,Boscobel,Wisconsin,Boscobel,43.160805555555555,-90.67397777777778,Reliever
3799,27057.*A,Boyceville Muni,Wisconsin,Boyceville,45.043952777777776,-92.02132777777777,Reliever
3800,27079.3*A,Burlington Muni,Wisconsin,Burlington,42.69071666666667,-88.30468333333333,Reliever
3801,27575.*A,Burnett County,Wisconsin,Siren,45.823463888888895,-92.37369166666666,Reliever
3802,27082.*A,Cable Union,Wisconsin,Cable,46.19493333333333,-91.24845277777779,Reliever
3804,27406.31*A,Central Wisconsin,Wisconsin,Mosinee,44.777625,-89.66677777777778,Non-Hub
3806,27170.*A,Chippewa Valley Rgnl,Wisconsin,Eau Claire,44.86580555555555,-91.48425,Non-Hub
3807,27115.*A,Clintonville Muni,Wisconsin,Clintonville,44.613166666666665,-88.73088888888888,Reliever
3808,27131.8*A,Crandon/Steve Conway Muni,Wisconsin,Crandon,45.52264722222222,-88.92843611111111,Reliever
3809,27132.2*A,Crivitz Muni,Wisconsin,Crivitz,45.21464166666667,-88.07329722222222,Reliever
3810,27132.4*A,Cumberland Muni,Wisconsin,Cumberland,45.5061,-91.98080277777778,Reliever
3811,27346.*A,Dane County Rgnl-Truax Fld,Wisconsin,Madison,43.13987777777778,-89.33750555555555,Small
3812,27281.35*A,Dodge County,Wisconsin,Juneau,43.42647222222222,-88.70386111111111,Reliever
3813,27610.*A,Door County Cherryland,Wisconsin,Sturgeon Bay,44.84366666666667,-87.42152777777778,Reliever
3814,27166.*A,Eagle River Union,Wisconsin,Eagle River,45.93233333333333,-89.26827777777778,Reliever
3815,27168.1*A,East Troy Muni,Wisconsin,East Troy,42.79716666666666,-88.3726111111111,Reliever
3816,27184.*A,Ephraim-Gibraltar,Wisconsin,Ephraim,45.13570833333333,-87.18812777777778,Reliever
3817,27200.*A,Fond Du Lac County,Wisconsin,Fond Du Lac,43.771166666666666,-88.48841666666667,Reliever
3818,27207.3*A,Fort Atkinson Muni,Wisconsin,Fort Atkinson,42.96320277777778,-88.81762777777777,Reliever
3819,27388.*A,General Mitchell Intl,Wisconsin,Milwaukee,42.946930555555554,-87.8970638888889,Medium
